corner,vdd,algo,run,feasible,penalty,objective,VREF,TC,LOOP_GAIN_DB,PHASE_MARGIN_DEG,GAIN_MARGIN_DB,POWER_UW,sim_failure,POWER_UW_AT_VDD,viol_power_at_vdd,feasible_at_vdd
ff,1.62,ABC,0,0,6,-200.0,,,,,,,timeout,,0,0
ff,1.62,ABC,1,0,6,-200.0,,,,,,,timeout,,0,0
ff,1.62,ABC,2,0,6,-200.0,,,,,,,timeout,,0,0
ff,1.62,ABC,3,0,6,-200.0,,,,,,,timeout,,0,0
ff,1.62,ABC,4,0,1,27.50567,1.220097,23.69906,51.2798,69.242,19.3293,42.64573,,38.38115700000001,0,0
ff,1.62,ABC,5,0,1,26.44898,1.220128,23.65872,51.3298,69.245,19.3709,43.34958,,39.014622,0,0
ff,1.62,ABC,6,0,6,-200.0,,,,,,,timeout,,0,0
ff,1.62,ABC,7,0,6,-200.0,,,,,,,timeout,,0,0
ff,1.62,ABC,8,0,6,-200.0,,,,,,,timeout,,0,0
ff,1.62,ABC,9,0,6,-200.0,,,,,,,timeout,,0,0
ff,1.62,ABC,10,0,6,-200.0,,,,,,,timeout,,0,0
ff,1.62,ABC,11,0,6,-200.0,,,,,,,timeout,,0,0
ff,1.62,ABC,12,0,6,-200.0,,,,,,,timeout,,0,0
ff,1.62,ABC,13,0,6,-200.0,,,,,,,timeout,,0,0
ff,1.62,ABC,14,0,6,-200.0,,,,,,,timeout,,0,0
ff,1.62,ABC,15,0,6,-200.0,,,,,,,timeout,,0,0
ff,1.62,ABC,16,0,6,-200.0,,,,,,,timeout,,0,0
ff,1.62,ABC,17,0,6,-200.0,,,,,,,timeout,,0,0
ff,1.62,ABC,18,0,6,-200.0,,,,,,,timeout,,0,0
ff,1.62,ABC,19,0,6,-200.0,,,,,,,timeout,,0,0
ff,1.62,ABC,20,0,6,-200.0,,,,,,,timeout,,0,0
ff,1.62,ABC,21,0,6,-200.0,,,,,,,timeout,,0,0
ff,1.62,ABC,22,0,6,-200.0,,,,,,,timeout,,0,0
ff,1.62,ABC,23,0,6,-200.0,,,,,,,timeout,,0,0
ff,1.62,ABC,24,0,6,-200.0,,,,,,,timeout,,0,0
ff,1.62,ABC,25,0,6,-200.0,,,,,,,timeout,,0,0
ff,1.62,ABC,26,0,6,-200.0,,,,,,,timeout,,0,0
ff,1.62,ABC,27,0,6,-200.0,,,,,,,timeout,,0,0
ff,1.62,ABC,28,0,6,-200.0,,,,,,,timeout,,0,0
ff,1.62,ABC,29,0,6,-200.0,,,,,,,timeout,,0,0
ff,1.62,ACO,0,0,6,-200.0,,,,,,,timeout,,0,0
ff,1.62,ACO,1,0,6,-200.0,,,,,,,timeout,,0,0
ff,1.62,ACO,2,0,6,-200.0,,,,,,,timeout,,0,0
ff,1.62,ACO,3,0,6,-200.0,,,,,,,timeout,,0,0
ff,1.62,ACO,4,0,6,-200.0,,,,,,,timeout,,0,0
ff,1.62,ACO,5,0,6,-200.0,,,,,,,timeout,,0,0
ff,1.62,ACO,6,0,6,-200.0,,,,,,,timeout,,0,0
ff,1.62,ACO,7,0,6,-200.0,,,,,,,timeout,,0,0
ff,1.62,ACO,8,0,6,-200.0,,,,,,,timeout,,0,0
ff,1.62,ACO,9,0,6,-200.0,,,,,,,timeout,,0,0
ff,1.62,ACO,10,0,6,-200.0,,,,,,,timeout,,0,0
ff,1.62,ACO,11,0,6,-200.0,,,,,,,timeout,,0,0
ff,1.62,ACO,12,0,6,-200.0,,,,,,,timeout,,0,0
ff,1.62,ACO,13,0,6,-200.0,,,,,,,timeout,,0,0
ff,1.62,ACO,14,0,6,-200.0,,,,,,,timeout,,0,0
ff,1.62,ACO,15,0,6,-200.0,,,,,,,timeout,,0,0
